Customer ID,First Paid Order Date,First Order Date,Total Spent
1072440,15/11/22 3:16,15/11/22 3:16,35
1072362,15/11/22 1:21,15/11/22 1:21,87.23
1072338,15/11/22 1:26,15/11/22 1:26,35
1072302,16/11/22 0:18,16/11/22 0:18,87.29
1072290,15/11/22 0:35,15/11/22 0:35,44.11
1072260,15/11/22 11:50,15/11/22 11:50,87.18
1072209,15/11/22 1:32,15/11/22 1:32,35
1072200,14/11/22 23:44,14/11/22 23:44,279.82
1072188,14/11/22 23:59,14/11/22 23:59,228
1072125,14/11/22 23:00,14/11/22 23:00,87.04
1072113,14/11/22 23:21,14/11/22 23:21,35
1072077,14/11/22 22:46,14/11/22 22:46,60.93
1072038,14/11/22 22:36,14/11/22 22:36,14.52
1071921,14/11/22 21:47,14/11/22 21:47,42.68
1071915,14/11/22 21:45,14/11/22 21:45,323.12
1071912,14/11/22 21:44,14/11/22 21:44,471.23
1071828,14/11/22 21:08,14/11/22 21:08,159.6
1071819,16/11/22 17:09,16/11/22 17:09,86.93
1071726,14/11/22 20:53,14/11/22 20:53,86.98
1071714,14/11/22 20:33,14/11/22 20:33,86.98
1071687,14/11/22 20:20,14/11/22 20:20,280.44
1071681,14/11/22 21:27,14/11/22 21:27,173.62
1071360,14/11/22 20:17,14/11/22 20:17,86.98
1071303,14/11/22 17:47,14/11/22 17:47,52.5
1071297,14/11/22 17:47,14/11/22 17:47,228
1071081,14/11/22 16:12,14/11/22 16:12,228
1071075,14/11/22 19:18,14/11/22 19:18,86.96
1071072,14/11/22 16:07,14/11/22 16:07,159.6
1071042,15/11/22 14:19,15/11/22 14:19,86.85
1070952,14/11/22 15:01,14/11/22 15:01,87.17
1070946,14/11/22 15:11,14/11/22 15:11,159.6
1070913,14/11/22 14:45,14/11/22 14:45,228
1070871,14/11/22 14:19,14/11/22 14:19,141.22
1070778,14/11/22 13:34,14/11/22 13:34,88.65
1070769,14/11/22 13:31,14/11/22 13:31,87.17
1070760,14/11/22 14:19,14/11/22 14:19,87
1070712,14/11/22 13:11,14/11/22 13:11,87.17
1070703,14/11/22 13:04,14/11/22 13:04,87.17
1070688,14/11/22 12:43,14/11/22 12:43,228
1070658,14/11/22 12:18,14/11/22 12:18,87.46
1070625,14/11/22 11:50,14/11/22 11:50,35
1070571,14/11/22 10:59,14/11/22 10:59,87.76
1070514,14/11/22 9:49,14/11/22 9:49,61.44
1070325,14/11/22 3:39,14/11/22 3:39,35
1070208,14/11/22 2:00,14/11/22 2:00,35
1070070,14/11/22 0:09,14/11/22 0:09,122.81
1069977,13/11/22 22:58,13/11/22 22:58,14.64
1069953,13/11/22 22:36,13/11/22 22:36,122.81
1069887,13/11/22 21:28,13/11/22 21:28,23.42
1069818,13/11/22 20:42,13/11/22 20:42,56
1069803,13/11/22 20:32,13/11/22 20:32,196.79
1069614,13/11/22 17:24,13/11/22 17:24,35
1069566,15/11/22 3:41,15/11/22 3:41,228
1069449,13/11/22 14:17,13/11/22 14:17,319.2
1069419,13/11/22 13:42,13/11/22 13:42,56
1069386,13/11/22 13:18,13/11/22 13:18,122.81
1069260,13/11/22 7:59,13/11/22 7:59,159.6
1069161,13/11/22 5:17,13/11/22 5:17,12
1069140,13/11/22 4:56,13/11/22 4:56,159.6
1069062,13/11/22 3:15,13/11/22 3:15,43.88
1069041,13/11/22 3:02,13/11/22 3:02,159.6
1069011,13/11/22 3:00,13/11/22 3:00,23.42
1068939,13/11/22 1:29,13/11/22 1:29,43.88
1068762,12/11/22 22:45,12/11/22 22:45,61.44
1068666,12/11/22 21:33,12/11/22 21:33,196.31
1068648,12/11/22 20:56,12/11/22 20:56,122.88
1068633,12/11/22 20:44,12/11/22 20:44,61.44
1068528,12/11/22 18:35,12/11/22 18:35,35
1068480,12/11/22 17:34,12/11/22 17:34,61.41
1068384,14/11/22 14:25,14/11/22 14:25,58.79
1068345,12/11/22 23:10,12/11/22 23:10,122.88
1068246,12/11/22 12:50,12/11/22 12:50,56
1068110,12/11/22 7:46,12/11/22 7:46,104.08
1068077,12/11/22 6:59,12/11/22 6:59,319.2
1068032,14/11/22 2:14,14/11/22 2:14,35
1068023,12/11/22 5:09,12/11/22 5:09,159.6
1067813,12/11/22 2:01,12/11/22 2:01,319.2
1067777,15/11/22 16:17,15/11/22 16:17,14.53
1067738,15/11/22 10:45,15/11/22 10:45,228
1067525,11/11/22 23:01,11/11/22 23:01,23.41
1067519,11/11/22 23:10,11/11/22 23:10,23.41
1067513,11/11/22 23:12,11/11/22 23:12,43.56
1067504,11/11/22 23:36,11/11/22 23:36,35
1067381,11/11/22 21:44,11/11/22 21:44,319.2
1067342,12/11/22 0:54,12/11/22 0:54,61.34
1067252,11/11/22 20:23,11/11/22 20:23,122.47
1067117,11/11/22 19:02,11/11/22 19:02,122.33
1067108,11/11/22 19:40,11/11/22 19:40,23.32
1067078,11/11/22 18:45,11/11/22 18:45,61.18
1067021,11/11/22 18:10,11/11/22 18:10,23.33
1066982,11/11/22 21:44,11/11/22 21:44,122.81
1066892,11/11/22 18:39,11/11/22 18:39,61.18
1066880,11/11/22 16:56,11/11/22 16:56,122.4
1066871,11/11/22 16:47,11/11/22 16:47,1915.2
1066739,15/11/22 18:15,15/11/22 18:15,153.78
1066643,14/11/22 13:05,14/11/22 13:05,228
1066592,14/11/22 11:03,14/11/22 11:03,228
1066358,11/11/22 9:12,11/11/22 9:12,447.02
1066280,11/11/22 6:29,11/11/22 6:29,315.31
1066091,11/11/22 3:11,11/11/22 3:11,159.6
1066070,11/11/22 3:00,11/11/22 3:00,61.26
1065872,11/11/22 0:43,11/11/22 0:43,35
1065863,11/11/22 0:44,11/11/22 0:44,35
1065809,10/11/22 23:59,10/11/22 23:59,42.4
1065707,10/11/22 23:18,10/11/22 23:18,35
1065647,10/11/22 22:38,10/11/22 22:38,87
1065641,10/11/22 22:31,10/11/22 22:31,444.65
1065602,10/11/22 22:18,10/11/22 22:18,392.62
1065296,10/11/22 19:26,10/11/22 19:26,73.11
1065260,10/11/22 19:04,10/11/22 19:04,35
1065173,10/11/22 18:38,10/11/22 18:38,43.75
1065113,10/11/22 17:38,10/11/22 17:38,121.02
1065044,14/11/22 2:58,14/11/22 2:58,87.72
1064984,10/11/22 20:29,10/11/22 20:29,66.27
1064963,14/11/22 16:25,14/11/22 16:25,14.51
1064759,10/11/22 13:17,10/11/22 13:17,14.45
1064747,11/11/22 12:30,11/11/22 12:30,122.52
1064582,10/11/22 8:48,10/11/22 8:48,35
1064579,10/11/22 20:50,10/11/22 20:50,159.6
1064510,16/11/22 6:14,16/11/22 6:14,199.85
1064495,11/11/22 3:04,11/11/22 3:04,319.2
1064366,10/11/22 4:48,10/11/22 4:48,126.73
1064357,10/11/22 4:37,10/11/22 4:37,14.49
1064345,10/11/22 4:47,10/11/22 4:47,159.6
1064189,10/11/22 2:47,10/11/22 2:47,159.6
1064156,10/11/22 21:08,10/11/22 21:08,35
1064069,10/11/22 1:28,10/11/22 1:28,60.85
1064063,10/11/22 1:16,10/11/22 1:16,56
1064054,10/11/22 1:10,10/11/22 1:10,36.42
1063892,10/11/22 0:24,10/11/22 0:24,60.83
1063814,9/11/22 23:43,9/11/22 23:43,43.05
1063769,15/11/22 14:30,15/11/22 14:30,86.85
1063763,16/11/22 4:22,16/11/22 4:22,43.75
1063583,10/11/22 17:29,10/11/22 17:29,199.5
1063331,14/11/22 13:16,14/11/22 13:16,87.17
1063259,10/11/22 17:46,10/11/22 17:46,192.94
1063256,9/11/22 18:46,9/11/22 18:46,197.23
1063250,9/11/22 18:54,9/11/22 18:54,388.04
1063199,9/11/22 18:36,9/11/22 18:36,56
1063193,9/11/22 18:27,9/11/22 18:27,14.48
1063184,10/11/22 15:01,10/11/22 15:01,68.88
1063166,9/11/22 18:05,9/11/22 18:05,41.84
1063103,9/11/22 17:31,9/11/22 17:31,14.53
1063016,15/11/22 17:41,15/11/22 17:41,12
1062896,10/11/22 16:33,10/11/22 16:33,23.07
1062848,9/11/22 15:12,9/11/22 15:12,191.03
1062815,9/11/22 14:58,9/11/22 14:58,23.16
1062785,9/11/22 16:13,9/11/22 16:13,121.47
1062782,9/11/22 14:26,9/11/22 14:26,121.4
1062767,13/11/22 18:40,13/11/22 18:40,159.6
1062653,10/11/22 13:45,10/11/22 13:45,14.45
1062482,15/11/22 13:50,15/11/22 13:50,86.83
1062434,9/11/22 11:06,9/11/22 11:06,159.6
1062302,14/11/22 8:57,14/11/22 8:57,228
1062176,9/11/22 5:52,9/11/22 5:52,159.6
1062005,9/11/22 3:27,9/11/22 3:27,35
1061999,9/11/22 2:56,9/11/22 2:56,58.51
1061987,9/11/22 2:55,9/11/22 2:55,60.8
1061951,10/11/22 1:24,10/11/22 1:24,60.85
1061933,10/11/22 16:32,10/11/22 16:32,159.6
1061930,9/11/22 2:12,9/11/22 2:12,12
1061921,10/11/22 2:42,10/11/22 2:42,319.2
1061855,10/11/22 1:34,10/11/22 1:34,160.18
1061822,9/11/22 1:07,9/11/22 1:07,114
1061810,10/11/22 21:10,10/11/22 21:10,28.8
1061615,15/11/22 23:27,15/11/22 23:27,228
1061603,9/11/22 4:11,9/11/22 4:11,56
1061336,8/11/22 20:59,8/11/22 20:59,121.23
1061312,8/11/22 20:46,8/11/22 20:46,121.23
1061294,8/11/22 20:36,8/11/22 20:36,638.4
1061213,11/11/22 3:12,11/11/22 3:12,51.92
1061198,10/11/22 20:26,10/11/22 20:26,66.27
1061099,8/11/22 19:12,8/11/22 19:12,219.39
1061096,15/11/22 14:51,15/11/22 14:51,86.94
1060844,8/11/22 17:17,8/11/22 17:17,68.88
1060832,8/11/22 17:15,8/11/22 17:15,68.2
1060811,8/11/22 17:05,8/11/22 17:05,103.1
1060790,8/11/22 17:10,8/11/22 17:10,205.21
1060778,15/11/22 17:38,15/11/22 17:38,87.13
1060619,8/11/22 15:59,8/11/22 15:59,60.35
1060598,8/11/22 15:27,8/11/22 15:27,42.35
1060520,8/11/22 15:04,8/11/22 15:04,383.01
1060502,14/11/22 19:58,14/11/22 19:58,14.51
1060367,8/11/22 13:37,8/11/22 13:37,23.01
1060247,9/11/22 11:48,9/11/22 11:48,159.6
1060163,8/11/22 11:22,8/11/22 11:22,35
1060019,8/11/22 7:51,8/11/22 7:51,35
1059959,10/11/22 0:18,10/11/22 0:18,14.49
1059878,8/11/22 5:28,8/11/22 5:28,187.11
1059863,8/11/22 5:07,8/11/22 5:07,35
1059858,11/11/22 7:37,11/11/22 7:37,35
1059786,14/11/22 20:56,14/11/22 20:56,273.6
1059738,8/11/22 3:24,8/11/22 3:24,159.6
1059621,8/11/22 2:16,8/11/22 2:16,35
1059546,8/11/22 1:30,8/11/22 1:30,43.12
1059531,8/11/22 1:49,8/11/22 1:49,27.99
1059507,10/11/22 2:41,10/11/22 2:41,159.6
1059489,8/11/22 0:50,8/11/22 0:50,319.2
1059339,7/11/22 23:46,7/11/22 23:46,379.41
1059333,10/11/22 2:03,10/11/22 2:03,42
1059270,10/11/22 12:41,10/11/22 12:41,60.64
1059258,14/11/22 20:02,14/11/22 20:02,322.02
1059231,7/11/22 22:53,7/11/22 22:53,319.2
1059192,7/11/22 22:31,7/11/22 22:31,48.35
1059159,7/11/22 22:55,7/11/22 22:55,14.42
1059069,7/11/22 21:28,7/11/22 21:28,99
1058709,7/11/22 18:50,7/11/22 18:50,319.2
1058682,7/11/22 18:45,7/11/22 18:45,319.2
1058631,7/11/22 18:12,7/11/22 18:12,56
1058373,7/11/22 16:09,7/11/22 16:09,120.19
1058349,7/11/22 18:08,7/11/22 18:08,35
1058340,7/11/22 16:46,7/11/22 16:46,120.19
1058334,7/11/22 17:30,7/11/22 17:30,120.48
1058316,7/11/22 15:36,7/11/22 15:36,76.56
1058175,7/11/22 15:19,7/11/22 15:19,120.32
1058160,8/11/22 13:09,8/11/22 13:09,120.85
1058037,7/11/22 13:44,7/11/22 13:44,60.2
1058004,8/11/22 2:31,8/11/22 2:31,14.43
1057923,7/11/22 12:32,7/11/22 12:32,60.49
1057887,14/11/22 12:38,14/11/22 12:38,226.33
1057818,7/11/22 10:16,7/11/22 10:16,35
1057800,11/11/22 9:30,7/11/22 9:40,33.17
1057782,7/11/22 9:14,7/11/22 9:14,120.66
1057770,8/11/22 21:06,7/11/22 8:39,219.12
1057695,13/11/22 13:05,13/11/22 13:05,159.6
1057614,7/11/22 4:42,7/11/22 4:42,35
1057422,10/11/22 21:05,10/11/22 21:05,121.08
1057365,7/11/22 0:31,7/11/22 0:31,159.6
1057356,7/11/22 0:43,7/11/22 0:43,319.2
1057350,7/11/22 0:15,7/11/22 0:15,102.3
1057299,6/11/22 23:49,6/11/22 23:49,251.44
1057155,8/11/22 15:00,8/11/22 15:00,33.88
1057077,7/11/22 7:40,7/11/22 7:40,159.6
1057020,6/11/22 20:45,6/11/22 20:45,60.36
1056888,6/11/22 19:06,6/11/22 19:06,76.96
1056816,7/11/22 10:25,7/11/22 10:25,120.48
1056810,6/11/22 17:31,6/11/22 17:31,60.36
1056627,9/11/22 2:29,9/11/22 2:29,60.81
1056474,7/11/22 6:02,7/11/22 6:02,159.6
1056402,6/11/22 5:44,6/11/22 5:44,35
1056399,11/11/22 8:30,11/11/22 8:30,113.99
1056291,6/11/22 2:56,6/11/22 2:56,159.6
1056258,11/11/22 3:50,11/11/22 3:50,159.6
1056240,14/11/22 18:27,14/11/22 18:27,86.96
1056060,7/11/22 20:18,7/11/22 20:18,14.39
1056033,5/11/22 23:05,5/11/22 23:05,36.34
1055958,5/11/22 21:32,5/11/22 21:32,319.2
1055943,5/11/22 21:12,5/11/22 21:12,191.2
1055880,5/11/22 20:19,5/11/22 20:19,120.66
1055832,5/11/22 19:31,5/11/22 19:31,60.33
1055820,5/11/22 20:39,5/11/22 20:39,319.2
1055754,15/11/22 21:22,15/11/22 21:22,325.85
1055730,11/11/22 9:37,5/11/22 17:11,58.31
1055622,11/11/22 9:37,5/11/22 15:22,23.42
1055580,5/11/22 14:54,5/11/22 14:54,189.92
1055535,14/11/22 15:33,14/11/22 15:33,280.14
1055520,5/11/22 14:09,5/11/22 14:09,60.36
1055511,8/11/22 13:54,8/11/22 13:54,60.34
1055436,5/11/22 19:04,5/11/22 19:04,120.66
1055301,10/11/22 10:18,10/11/22 10:18,35
1055235,5/11/22 7:02,5/11/22 7:02,159.6
1055223,5/11/22 6:53,5/11/22 6:53,35
1055184,6/11/22 15:41,6/11/22 15:41,43.11
1055118,5/11/22 4:21,5/11/22 4:21,319.2
1054821,5/11/22 0:35,5/11/22 0:35,159.6
1054689,9/11/22 17:34,9/11/22 17:34,442.27
1054518,11/11/22 9:38,4/11/22 21:38,23.42
1054470,15/11/22 23:51,15/11/22 23:51,87.34
1054464,4/11/22 21:11,4/11/22 21:11,120.52
1054431,11/11/22 9:30,7/11/22 4:03,70
1054344,4/11/22 19:59,4/11/22 19:59,35
1054263,4/11/22 21:11,4/11/22 21:11,386.23
1054254,4/11/22 19:15,4/11/22 19:15,28
1054218,4/11/22 19:05,4/11/22 19:05,60.08
1054170,4/11/22 18:48,4/11/22 18:48,50.86
1054122,4/11/22 18:13,4/11/22 18:13,10.01
1053951,4/11/22 16:45,4/11/22 16:45,35
1053870,4/11/22 15:58,4/11/22 15:58,1483.56
1053864,4/11/22 15:49,4/11/22 15:49,743
1053840,11/11/22 9:44,4/11/22 15:32,67.88
1053768,7/11/22 17:19,7/11/22 17:19,120.48
1053708,11/11/22 9:34,5/11/22 19:34,70
1053633,7/11/22 20:26,7/11/22 20:26,60.38
1053507,7/11/22 11:59,7/11/22 11:59,319.2
1053354,7/11/22 10:56,7/11/22 10:56,144.38
1053342,4/11/22 6:51,4/11/22 6:51,200.63
1053273,4/11/22 6:50,4/11/22 6:50,35
1053228,11/11/22 2:41,11/11/22 2:41,319.2
1053225,4/11/22 4:19,4/11/22 4:19,35
1053180,4/11/22 3:44,4/11/22 3:44,59.77
1053120,4/11/22 3:07,4/11/22 3:07,28
1053111,4/11/22 3:30,4/11/22 3:30,28
1053060,4/11/22 6:03,4/11/22 6:03,159.6
1053057,4/11/22 2:16,4/11/22 2:16,59.76
1053033,4/11/22 2:05,4/11/22 2:05,119.53
1052979,9/11/22 21:38,9/11/22 21:38,28
1052814,6/11/22 23:38,6/11/22 23:38,319.2
1052652,9/11/22 5:22,9/11/22 5:22,60.82
1052607,6/11/22 0:10,6/11/22 0:10,192.8
1052586,3/11/22 22:36,3/11/22 22:36,59.72
1052358,3/11/22 20:54,3/11/22 20:54,119.26
1052163,7/11/22 19:09,7/11/22 19:09,41.92
1052160,3/11/22 19:11,3/11/22 19:11,119.35
1052088,16/11/22 3:01,16/11/22 3:01,285
1051950,3/11/22 18:25,3/11/22 18:25,59.67
1051935,4/11/22 12:09,3/11/22 17:40,386.23
1051869,3/11/22 19:51,3/11/22 19:51,35
1051863,3/11/22 17:48,3/11/22 17:48,41.13
1051788,3/11/22 17:01,3/11/22 17:01,59.66
1051683,4/11/22 2:54,4/11/22 2:54,41.65
1051440,10/11/22 13:48,3/11/22 13:48,14.45
1051347,3/11/22 18:49,3/11/22 18:49,59.67
1051212,3/11/22 11:24,3/11/22 11:24,319.2
1051200,3/11/22 11:28,3/11/22 11:28,35
1051110,3/11/22 10:57,3/11/22 10:57,99
1051089,3/11/22 9:51,3/11/22 9:51,1619.44
1051080,3/11/22 10:18,3/11/22 10:18,319.2
1050978,8/11/22 5:49,8/11/22 5:49,35
1050906,3/11/22 6:35,3/11/22 6:35,14.22
1050900,3/11/22 7:19,3/11/22 7:19,41.22
1050864,3/11/22 6:09,3/11/22 6:09,35
1050807,3/11/22 5:48,3/11/22 5:48,35
1050720,3/11/22 4:08,3/11/22 4:08,119.44
1050474,4/11/22 3:27,4/11/22 3:27,35
1050363,3/11/22 0:53,3/11/22 0:53,119.57
1050336,3/11/22 0:50,3/11/22 0:50,119.57
1050315,13/11/22 4:59,3/11/22 0:31,290.87
1050279,3/11/22 0:27,3/11/22 0:27,59.78
1050276,11/11/22 9:49,3/11/22 4:02,28.8
1050222,7/11/22 20:30,7/11/22 20:30,56
1050201,3/11/22 3:24,3/11/22 3:24,43.75
1050177,3/11/22 10:22,3/11/22 10:22,50.57
1050030,11/11/22 9:36,6/11/22 23:15,38.05
1049940,2/11/22 22:10,2/11/22 22:10,35
1049868,14/11/22 14:20,14/11/22 14:20,87
1049847,14/11/22 19:18,14/11/22 19:18,49.4
1049832,13/11/22 8:22,2/11/22 21:35,35
1049745,9/11/22 11:04,9/11/22 11:04,228
1049715,2/11/22 21:04,2/11/22 21:04,14.25
1049709,2/11/22 20:55,2/11/22 20:55,14.25
1049619,15/11/22 10:14,15/11/22 10:14,87.23
1049463,11/11/22 9:42,4/11/22 2:50,67.88
1049403,15/11/22 1:38,15/11/22 1:38,35
1049397,2/11/22 18:49,2/11/22 18:49,379.41
1049214,2/11/22 18:07,2/11/22 18:07,41.95
1049187,10/11/22 21:59,2/11/22 18:13,193.87
1049163,2/11/22 18:26,2/11/22 18:26,34.67
1048893,2/11/22 16:29,2/11/22 16:29,119.51
1048692,14/11/22 16:40,14/11/22 16:40,35
1048548,11/11/22 9:40,4/11/22 16:18,23.37
1048323,2/11/22 13:04,2/11/22 13:04,319.2
1048227,2/11/22 12:01,2/11/22 12:01,159.6
1047984,2/11/22 13:06,2/11/22 13:06,35
1047801,2/11/22 6:47,2/11/22 6:47,119.64
1047747,2/11/22 6:06,2/11/22 6:06,33.46
1047717,2/11/22 5:35,2/11/22 5:35,35
1047609,11/11/22 9:45,4/11/22 1:10,14.43
1047594,14/11/22 20:59,3/11/22 2:37,289.56
1047576,7/11/22 17:07,7/11/22 17:07,52.5
1047558,11/11/22 9:39,5/11/22 4:50,28.8
1047519,2/11/22 3:20,2/11/22 3:20,319.2
1047447,11/11/22 9:55,2/11/22 2:22,69.02
1047168,7/11/22 23:02,7/11/22 23:02,159.6
1047141,2/11/22 18:22,2/11/22 18:22,319.2
1047126,2/11/22 0:46,2/11/22 0:46,59.85
1047096,3/11/22 0:40,3/11/22 0:40,59.78
1046679,1/11/22 23:00,1/11/22 23:00,35
1046397,2/11/22 0:38,2/11/22 0:38,159.6
1046166,1/11/22 22:17,1/11/22 22:17,119.66
1046037,2/11/22 1:16,2/11/22 1:16,319.2
1045884,11/11/22 9:56,1/11/22 20:06,87.5
1045797,11/11/22 10:04,1/11/22 19:22,23.42
1045707,1/11/22 18:39,1/11/22 18:39,119.62
1045689,1/11/22 18:37,1/11/22 18:37,159.6
1045683,1/11/22 19:08,1/11/22 19:08,159.6
1045566,2/11/22 11:43,2/11/22 11:43,159.6
1045530,10/11/22 15:02,10/11/22 15:02,121.06
1045527,3/11/22 14:11,3/11/22 14:11,76.81
1045479,1/11/22 17:06,1/11/22 17:06,14.26
1045395,1/11/22 17:29,1/11/22 17:29,319.2
1045380,1/11/22 16:19,1/11/22 16:19,319.2
1045251,11/11/22 9:56,3/11/22 0:04,23.42
1045218,1/11/22 14:48,1/11/22 14:48,59.86
1045134,1/11/22 14:28,1/11/22 14:28,59.86
1044966,1/11/22 12:43,1/11/22 12:43,119.53
1044957,1/11/22 12:23,1/11/22 12:23,119.53
1044744,11/11/22 9:58,1/11/22 7:31,41.16
1044687,1/11/22 7:02,1/11/22 7:02,159.6
1044678,1/11/22 6:47,1/11/22 6:47,35
1044570,1/11/22 22:41,1/11/22 22:41,309.16
1044546,1/11/22 23:09,1/11/22 23:09,52.5
1044396,2/11/22 22:01,2/11/22 22:01,119.59
1044357,11/11/22 10:06,1/11/22 2:15,23.42
1044351,1/11/22 1:45,1/11/22 1:45,35
1044309,10/11/22 9:07,10/11/22 9:07,121.45
1044225,1/11/22 0:41,1/11/22 0:41,35
1044075,13/11/22 0:43,13/11/22 0:43,319.2
1044021,31/10/22 23:34,31/10/22 23:34,9.86
1043982,2/11/22 18:23,2/11/22 18:23,12
1043967,3/11/22 15:09,1/11/22 0:15,35
1043901,31/10/22 22:35,31/10/22 22:35,405.66
1043721,31/10/22 21:31,31/10/22 21:31,319.2
1043682,31/10/22 21:11,31/10/22 21:11,319.2
1043652,11/11/22 9:59,31/10/22 20:59,28.8
1043589,31/10/22 20:33,31/10/22 20:33,35
1043586,13/11/22 13:43,13/11/22 13:43,159.6
1043478,7/11/22 12:49,7/11/22 12:49,120.29
1043460,11/11/22 10:10,31/10/22 19:49,67.88
1043358,9/11/22 0:11,9/11/22 0:11,14.5
1043289,31/10/22 18:24,31/10/22 18:24,101.25
1043166,31/10/22 17:26,31/10/22 17:26,37.81
1043097,11/11/22 10:10,31/10/22 17:13,79.38
1043082,31/10/22 18:16,31/10/22 18:16,119.91
1043046,2/11/22 14:24,2/11/22 14:24,59.79
1043034,2/11/22 22:05,2/11/22 22:05,35
1042764,31/10/22 15:00,31/10/22 15:00,159.6
1042704,9/11/22 22:19,31/10/22 14:32,52.12
1042644,15/11/22 3:22,31/10/22 13:59,87.25
1042626,31/10/22 15:06,31/10/22 15:06,60.01
1042596,31/10/22 15:22,31/10/22 15:22,120.01
1042497,31/10/22 16:23,31/10/22 16:23,120.03
1042344,15/11/22 2:45,15/11/22 2:45,228
1042161,31/10/22 23:39,31/10/22 23:39,159.6
1042050,31/10/22 4:37,31/10/22 4:37,35
1042011,1/11/22 1:26,1/11/22 1:26,159.6
1041831,31/10/22 2:11,31/10/22 2:11,204.48
1041789,16/11/22 4:37,16/11/22 4:37,280.44
1041585,30/10/22 23:20,30/10/22 23:20,171.74
1041378,30/10/22 21:38,30/10/22 21:38,28.65
1041255,2/11/22 1:50,2/11/22 1:50,438.58
1041066,30/10/22 18:36,30/10/22 18:36,41.09
1040835,4/11/22 2:42,4/11/22 2:42,376.47
1040409,30/10/22 13:06,30/10/22 13:06,364.8
1040031,11/11/22 6:35,11/11/22 6:35,105.62
1039821,8/11/22 13:42,30/10/22 3:47,319.2
1039323,7/11/22 17:47,29/10/22 22:43,41.95
1039317,29/10/22 22:47,29/10/22 22:47,28.65
1039221,9/11/22 22:50,9/11/22 22:50,60.78
1039143,5/11/22 4:40,5/11/22 4:40,35
1039083,29/10/22 20:19,29/10/22 20:19,43.05
1038993,11/11/22 10:07,1/11/22 2:26,78.42
1038960,15/11/22 15:06,15/11/22 15:06,86.94
1038909,8/11/22 11:41,8/11/22 11:41,120.79
1038894,8/11/22 20:01,8/11/22 20:01,82.58
1038843,29/10/22 20:32,29/10/22 20:32,14.33
1038825,30/10/22 7:33,30/10/22 7:33,36.02
